,id,original_title,popularity,budget_adj,revenue_adj,tagline,keywords,genres,production_companies,vote_average,release_year
41,274854,The Last Witch Hunter,3.080505,82799963.568,129164861.167,Hunt forever.,new york|witch|uprising|witch hunter,Fantasy,Summit Entertainment,5.6,2015
43,203801,The Man from U.N.C.L.E.,3.053421,68999969.64,99493456.5029,Saving the world never goes out of style.,spy|cold war|remake|based on tv series|buddy cop,Comedy,Davis Entertainment,7.0,2015
44,293863,The Age of Adaline,3.025852,22999989.88,39219376.6635,Love is timeless.,san francisco|immortality|love|forever,Fantasy,Lakeshore Entertainment,7.3,2015
45,325348,Hardcore Henry,3.023253,9199995.952,13187080.9977,First they made him dangerous. Then they made him mad.,female nudity|cyborg|nudity|murder|gore,Action,Bazelevs Production,5.9,2015
46,228161,Home,2.976436,124199945.352,339361177.121,Worlds Collide,friendship|spaceship|space|alien|alien invasion,Fantasy,Twentieth Century Fox Film Corporation,6.9,2015
47,286565,Paper Towns,2.968254,11039995.1424,78671281.3846,Get Lost. Get Found.,friendship|high school|teen|classmate|based on young adult book,Drama,Fox 2000 Pictures,6.2,2015
49,254320,The Lobster,2.885126,3679998.3808,8339346.45069,An unconventional love story...,dystopia,Thriller,Haut et Court,6.6,2015
50,258480,Carol,2.883233,10855995.2234,37050347.8978,Some people change your life forever.,gay|new york|female nudity|chicago|sex,Romance,Killer Films,7.1,2015
51,257211,The Intern,2.814802,32199985.832,178999419.48,Experience never gets old,intern|woman director,Comedy,Waverly Films,7.1,2015
52,253412,Everest,2.798017,50599977.736,187153294.933,The Storm Awaits.,mountains|snow storm|hiking|snow|death,Adventure,Universal Pictures,6.7,2015
54,257088,Point Break,2.614499,96599957.496,123021159.991,The only law that matters is gravity,undercover|undercover agent|extreme sports|fbi agent|3d,Action,Studio Babelsberg,5.5,2015
55,295964,Burnt,2.584264,18399991.904,33678188.7416,Never underestimate a man with everything to lose.,london|cook|restaurant|diva|career,Drama,Double Feature Films,6.3,2015
56,238615,Self/less,2.578919,23919989.4752,28081355.5642,God Created Man. Man Created Immortality.,lie|immortality|terminal illness|laboratory|cancer,Science Fiction,Endgame Entertainment,6.2,2015
57,210860,Mortdecai,2.575711,55199975.712,27985062.8866,Sophistication Has a Name.,based on novel|painting|debt|art dealer|stolen painting,Comedy,Lionsgate,5.3,2015
58,306819,The Danish Girl,2.557859,13799993.928,59056175.1753,Find the courage to be yourself.,paris|denmark|copenhagen|artist|art,Drama,Pretty Pictures,7.3,2015
59,201088,Blackhat,2.550747,64399971.664,16332697.6136,We are no longer in control.,terrorist|technology|anti hero|hacker|computer virus,Mystery,Universal Pictures,5.0,2015
60,273481,Sicario,2.487849,27599987.856,77303716.7064,The border is just another line to cross.,mexico|cia|smoking|texas|fbi,Action,Lionsgate,7.1,2015
61,166424,Fantastic Four,2.487042,110399952.344,154539320.323,Change is coming.,teleportation|transformation|telekinesis|portal|marvel comic,Action,Twentieth Century Fox Film Corporation,4.4,2015
62,310131,The Witch,2.46449,3219998.5832,37190013.0364,Evil takes many forms.,witch|new england|17th century,Mystery,Parts and Labor,5.8,2015
63,238713,Spy,2.404473,59799973.688,216812826.082,One of the guys. One of the Spies.,spy|cia|undercover|arms dealer|disaster,Action,Twentieth Century Fox Film Corporation,6.9,2015
64,256591,Focus,2.395366,46091979.7195,141645863.636,Never Drop The Con.,seduction|con man|femme fatale|deception|con artist,Romance,Kramer & Sigman Films,6.7,2015
65,249070,Hitman: Agent 47,2.354654,32199985.832,75759810.1857,Your Number is Up.,assassin|secret identity|intelligence|hitman|execution,Action,Twentieth Century Fox Film Corporation,5.5,2015
66,205775,In the Heart of the Sea,2.345821,91999959.52,86315059.3814,Based on the incredible true story that inspired Moby Dick,suicide|ocean|sea|hunger|shipwreck,Thriller,Imagine Entertainment,6.4,2015
68,312221,Creed,2.331567,32199985.832,126900665.804,Your legacy is more than a name,underdog|sport|spin off|underground fighting|motivational speaker,Drama,New Line Cinema,7.3,2015
69,271718,Trainwreck,2.31767,32199985.832,129532072.566,We All Know One.,alcohol|one-night stand,Comedy,Universal Pictures,6.1,2015
70,333352,Eye in the Sky,2.29573,11959994.7376,30220316.9031,Welcome to the new front line,terrorist|drone|u.s. military|air force base|combat drone,Drama,Entertainment One,7.2,2015
71,276907,Legend,2.28135,22999989.88,39535137.0845,"Love, fight, live, rule like a legend.",biography|based on true story|gangster|twins,Crime,Working Title Films,6.7,2015
73,266647,Pan,2.234573,137999939.28,118117202.428,Every legend has a beginning.,flying|magic|fairy tale|peter pan|mermaid,Adventure,Warner Bros.,5.9,2015
76,227973,The Peanuts Movie,2.140199,91079959.9248,226534364.285,The story of an underdog. And his dog.,based on comic strip|family|3d|charlie brown|snoopy,Adventure,Blue Sky Studios,6.4,2015
77,321741,Concussion,2.121884,32199985.832,44733666.5572,Even Legends Need a Hero,american football|biography|professional sports|sports injury|nfl,Drama,Village Roadshow Pictures,6.9,2015
78,296100,The Night Before,2.096273,22999989.88,48204295.1101,"Their past, present and future. All in one night.",male friendship|new york city|drug|christmas eve|childhood friend,Comedy,Sony Pictures,6.1,2015
79,263472,Knock Knock,2.080935,2299998.988,4796917.44936,One night can cost you everything.,female nudity|sex|disc jockey|infidelity|rain,Drama,Universum Film (UFA),4.8,2015
80,228205,The Longest Ride,2.070708,31279986.2368,57972193.0122,Two couples. Two love stories. One epic tale.,based on novel|art student|cowboys|injury|bull riding,Romance,Fox 2000 Pictures,7.3,2015
81,159824,Hotel Transylvania 2,2.060162,73599967.616,428888671.769,They're back to raise a little terror,transylvania|hotel|witch|technology|magic,Animation,Columbia Pictures,6.8,2015
82,333348,Love the Coopers,2.055572,15639993.1184,22079990.2848,"Christmas means comfort, joy and chaos.",big family|family relationships|family|woman director|christmas,Family,Imagine Entertainment,5.3,2015
83,285783,The Walk,2.049886,32199985.832,56287361.8736,Dream High.,1970s|skyscraper|based on true story|tightrope|planning,Adventure,TriStar Pictures,6.8,2015
84,290764,Tracers,2.026651,10119995.5472,1714249.04573,It's not a crime if they can't catch you.,chinese mafia|parkour|new york city|loan shark|young adult,Action,Temple Hill Entertainment,5.9,2015
85,296099,Vacation,2.000338,28519987.4512,96033410.7053,What could go wrong?,route 66|grand canyon|cow|vacation|road trip,Adventure,New Line Cinema,6.1,2015
86,243688,Poltergeist,1.984529,32199985.832,87802915.8467,They're Here. And They Know What Scares You.,poltergeist|haunted house|remake|duringcreditsstinger,Horror,Ghost House Pictures,5.0,2015
87,287424,Maggie,1.980039,3679998.3808,172142.964257,Don't Get Bitten,post-apocalyptic|dystopia|zombies,Horror,Lionsgate,5.1,2015
89,181283,Child 44,1.95632,45999979.76,3058382.25431,How do you find a killer who doesn’t exist?,murder|serial killer|military|chili|soviet union,Crime,Summit Entertainment,5.9,2015
90,328425,The Gift,1.926739,4599997.976,54260336.8855,Not every gift is welcome.,detective|stalker|gift|bully|psychological thriller,Thriller,Blumhouse Productions,6.6,2015
91,274167,Daddy's Home,1.904898,45999979.76,221131463.342,Choose your Daddy,daddys home,Comedy,Paramount Pictures,5.7,2015
94,309809,The Little Prince,1.865007,58879974.0928,89765510.5032,Growing up isn't the problem... forgetting is.,philosophy|utopia|airplane|adventure|dystopia,Adventure,Onyx Films,7.5,2015
96,298382,The Dressmaker,1.82313,10975595.1707,16872792.576,Revenge is back in fashion,based on novel|australia|dressmaker|hometown|woman director,Drama,Amazon Studios,6.9,2015
97,272693,The DUFF,1.758618,7819996.5592,40046325.6596,"You either know one, you have one, or you are one.",high school|teenager|popularity|high school senior|teen comedy,Romance,Wonderland Sound and Vision,6.8,2015
98,283445,Sinister 2,1.742286,9199995.952,48651435.1534,"Be careful, children at play.",haunted house|sequel|twins,Horror,Alliance Films,5.5,2015
99,256961,Paul Blart: Mall Cop 2,1.73518,27599987.856,98989419.0847,Vegas has a new high roller.,shopping mall|las vegas nevada|security guard,Action,Columbia Pictures,5.3,2015
102,241251,The Boy Next Door,1.651078,3679998.3808,46150034.454,A Moment She Couldn't Resist. An Obsession He Can't Control.,male nudity|female nudity|sex|adultery|infidelity,Thriller,Universal Pictures,3.9,2015
104,188222,Entourage,1.532997,27599987.856,45322311.7382,Dream Large. Live Larger.,friendship|hollywood|movie star|entourage,Comedy,Warner Bros.,6.2,2015
105,252838,The Wedding Ringer,1.510096,21159990.6896,73415857.297,He's the best man... money can buy.,male friendship|impersonator|wedding|lying|best man,Comedy,Miramax Films,6.5,2015
106,273477,Scouts Guide to the Zombie Apocalypse,1.499614,13799993.928,13671898.7044,Always bring protection.,female nudity|shotgun|nudity|strip club|party,Comedy,Paramount Pictures,6.2,2015
107,298312,The Visit,1.495112,4599997.976,90574017.1874,No one loves you like your grandparents.,rap|pennsylvania|brother sister relationship|farm|grandparents,Horror,Blumhouse Productions,5.9,2015
108,261023,Black Mass,1.483246,48759978.5456,91793583.3708,Keep your enemies close.,boston|based on true story|organized crime,Crime,Infinitum Nihil,6.3,2015
109,336004,Heist,1.449072,8187996.39728,46125.099705,Never make a bet you can't afford to lose.,casino|robbery|bus hijacking|heist,Crime,Emmett/Furla Films,5.4,2015
110,287903,Krampus,1.448002,13799993.928,56624785.5251,You don't want to be on his list.,fire|winter|santa claus|snow storm|christmas tree,Horror,Universal Pictures,5.9,2015
111,182560,Dark Places,1.443406,18399991.904,191900.875564,"In 1985, her entire family was murdered. 30 years later, the truth emerges.",prison|based on novel|brother sister relationship|satanism|witness,Drama,Denver and Delilah Productions,5.7,2015
112,192141,No Escape,1.41239,4599997.976,50065340.2113,No rescue. No refuge.,coup|american|family|foreign,Action,Bold Films,6.7,2015
113,308639,Dope,1.40805,643999.71664,16547831.239,It's hard out here for a geek.,california|hip-hop|harvard university|geek|coming of age,Crime,Forest Whitaker's Significant Productions,7.3,2015
114,261392,American Ultra,1.388251,25759988.6656,25951426.7814,Everyone's getting smoked.,memory loss|stoner|black ops,Comedy,Concorde Filmverleih,5.9,2015
115,304357,Woman in Gold,1.388032,10119995.5472,56690166.2163,Justice is Priceless.,nazis|art|stolen painting,Drama,BBC Films,7.3,2015
117,266294,Sisters,1.376605,27599987.856,96610126.2515,Big sisters don't always know best.,sister sister relationship|childhood home,Comedy,Little Stranger,5.9,2015
118,227719,Project Almanac,1.360926,11039995.1424,29668368.6659,Today is better the second time around,time travel|time machine|teenager|found footage,Science Fiction,Paramount Pictures,6.3,2015
120,287948,The Transporter Refueled,1.355822,22999989.88,66819266.9995,He Delivers.,transporter|sequel|suspense|car|bank heist,Thriller,EuropaCorp,5.3,2015
121,201085,Crimson Peak,1.345982,50599977.736,68705406.0096,Beware.,haunted house|mining|murder|spitting blood|gothic,Mystery,Legendary Pictures,6.4,2015
123,264999,Magic Mike XXL,1.338481,13615994.009,112619962.887,Back to the grind.,male friendship|strip club|road trip|strip tease|strip,Comedy,Warner Bros.,6.3,2015
124,146301,Paranormal Activity: The Ghost Dimension,1.338322,9199995.952,71851557.1453,You can't save them. All you can do is watch.,terror|supernatural|sequel|demon|found footage,Horror,Paramount Pictures,5.0,2015
126,294016,Trumbo,1.316239,13799993.928,7576804.78621,Are you now or have you ever been...,screenwriter|communist|biography|film history|hollywood,Drama,Groundswell Productions,7.2,2015
127,290751,Secret in Their Eyes,1.315266,17939992.1064,29614535.8096,Don't look back,fbi|missing child,Crime,Ingenious Media,6.2,2015
129,228165,The SpongeBob Movie: Sponge Out of Water,1.291013,68079970.0448,286666383.307,He's leaving his world behind.,ocean|sea|star|water|comedy,Family,Paramount Pictures,5.7,2015
131,272878,Max,1.278928,18399991.904,40449856.8021,Best Friend. Hero. Marine.,afghanistan|war|based on true story|rescue|betrayal,Adventure,Sunswept Entertainment,7.0,2015
135,266396,The Gunman,1.225325,36799983.808,9811564.76291,Armed With the Truth.,assassin|hitman,Action,StudioCanal,5.6,2015
136,277685,Unfriended,1.191138,919999.5952,57851497.3453,"Online, your memories last forever. But so do your mistakes.",computer|bullying|revenge|internet|violence,Horror,Bazelevs Production,5.6,2015
137,268920,Hot Pursuit,1.178831,32199985.832,47545763.9999,Armed and Sort-of Dangerous.,texas|prisoner|cop|drug cartel|on the run,Action,New Line Cinema,5.5,2015
138,280092,Insidious: Chapter 3,1.164724,9199995.952,95959500.6978,This is how you die,sequel,Drama,Sony Pictures,6.3,2015
141,328589,The Lady in the Van,1.142518,5519997.5712,38076655.2863,A mostly true story,based on novel|biography|based on true story,Comedy,BBC Films,5.9,2015
142,228066,Victor Frankenstein,1.138395,36799983.808,31489100.3048,Discover the origin of the monster and his creation.,london|frankenstein|human experiment|reanimated corpse|frankenstein's monster,Drama,Twentieth Century Fox Film Corporation,5.5,2015
150,250124,The Diary of a Teenage Girl,1.03839,1839999.1904,1358841.24211,Some things are best kept secret.,1970s|teenage girl|older man younger woman relationship|based on graphic novel|teenage sexuality,Drama,Caviar Films,6.8,2015
157,275601,Ricki and the Flash,0.956096,16559992.7136,38019285.0315,Get Ready for Ricki.,homophobia|rock star|aging|family relationships|divorce,Comedy,Columbia TriStar,5.5,2015
162,252512,While We're Young,0.93762,9199995.952,6980483.12859,Life Never Gets Old.,marriage|middle age,Drama,Scott Rudin Productions,5.9,2015
163,257091,Get Hard,0.927339,36799983.808,97990493.6442,An education in incarceration.,prison|training|framed|embezzlement,Comedy,Gary Sanchez Productions,5.9,2015
167,293646,The 33,0.906036,22999989.88,22910495.0794,Hope runs deep,mining|chile|based on true story|survival|woman director,History,Alcon Entertainment,5.8,2015
168,245168,Suffragette,0.898296,12879994.3328,14722219.9222,Mothers. Daughters. Rebels.,london|biography|feminist|period drama|woman director,Drama,Ruby Films,7.1,2015
170,301351,We Are Your Friends,0.880938,5519997.5712,10232318.2978,The world is yours.,dj,Drama,Working Title Films,6.2,2015
183,222936,Aloha,0.814206,34039985.0224,24150007.774,Sometimes you have to say goodbye before you can say hello.,hawaii|military,Adventure,Columbia Pictures,5.2,2015
186,10317,Our Brand Is Crisis,0.795762,25759988.6656,6442077.28549,May the best campaign win.,political campaign|south america,Drama,Participant Media,5.7,2015
200,306745,Freeheld,0.706023,6439997.1664,527467.967914,A true story of love and injustice.,new jersey|equality|lesbian couple|cancer,Romance,Double Feature Films,7.1,2015
205,256924,Danny Collins,0.690479,9199995.952,9968887.45369,A letter from John Lennon changed his life,rock star|middle age,Comedy,Big Indie Pictures,6.6,2015
206,253414,Rock the Kasbah,0.689579,13799993.928,2779009.65724,Opportunity rocks where you least expect it.,jealousy|ex-boyfriend|afghanistan|record producer|last chance,Comedy,Shangri-La Entertainment,5.1,2015
208,320588,"Hello, My Name Is Doris",0.673792,919999.5952,13289393.2327,She's not ready to act her age,dating|middle age,Comedy,Red Crown Productions,6.6,2015
209,157544,The Vatican Tapes,0.669351,11959994.7376,1641981.23753,"For 2,000 years the Vatican has recorded evidence of evil. May God have mercy on their souls.",exorcism|anti-christ|exorcists,Thriller,Lakeshore Entertainment,4.5,2015
210,283235,99 Homes,0.661471,7359996.7616,1298972.26845,Greed is the only game in town.,florida|motel|finances|single father|mother son relationship,Drama,Imagenation Abu Dhabi FZ,6.8,2015
211,243938,Hot Tub Time Machine 2,0.661163,12879994.3328,11329473.935,The Laws of Space and Time are About to be Violated.,time travel|sequel|hot tub|duringcreditsstinger,Comedy,Paramount Pictures,5.0,2015
223,232572,A Walk in the Woods,0.602165,7359996.7616,33111785.4708,"When you push yourself to the edge, the real fun begins.",hiking|backpacker|friends|appalachian trail,Drama,Wildwood Enterprises,5.4,2015
225,243940,The Lazarus Effect,0.599655,3035998.66416,58981843.808,Evil will rise.,terror|experiment|afterlife|paranormal|violence,Thriller,Lionsgate,4.9,2015
229,239573,Unfinished Business,0.577814,32199985.832,13276746.9182,Best business trip ever.,europe|business trip,Comedy,Studio Babelsberg,4.9,2015
230,167810,Lost River,0.570744,1839999.1904,41796.5016095,Dive deep into the underwater town,underworld|lost city,Fantasy,Bold Films,5.7,2015
242,299245,The Gallows,0.532205,91999.95952,39251239.9295,Every School Has Its Spirit,gallows|high school|tragedy|hanging|found footage,Horror,New Line Cinema,5.0,2015
270,253331,Black or White,0.46209,8279996.3568,19845485.148,There's more to family than what you see.,grieving widower|widower,Drama,Treehouse Pictures,6.7,2015
287,266639,Jem and the Holograms,0.435582,4599997.976,2146988.33533,Every Generation Needs a Voice.,secret identity|hologram|based on cartoon|based on tv series|rock band,Drama,Universal Pictures,5.7,2015
291,283587,Beasts of No Nation,0.424813,5519997.5712,83514.8032535,Child. Captive. Killer.,africa|based on novel|child soldier,Drama,Participant Media,7.5,2015
304,308638,The D Train,0.402236,411721.898842,709611.327771,Every reunion needs a hero,high school reunion,Drama,Ealing Studios,4.2,2015
331,245846,Strangerland,0.365901,9199995.952,16074.2329273,To find the truth they must lose themselves.,australia|missing child|outback|alcoholic drink|troubled marriage,Drama,Worldview Entertainment,5.0,2015
350,331190,Captive,0.336107,1839999.1904,2577386.22595,Faith. Redemption. Survival.,hostage|based on true story|murder|independent film|single mother,Crime,Itaca Films,5.7,2015
380,343795,90 Minutes in Heaven,0.298751,4599997.976,4455281.11968,Hope lives,hospital|church,Drama,Emmett/Furla Films,5.7,2015
492,323272,War Room,0.731022,2759998.7856,62366880.1986,Prayer is a Powerful Weapon,christian,Drama,Provident Films,6.9,2015
583,273899,Stonewall,0.076109,12419994.5352,172660.00403,Where Pride Began,stonewall riot,Drama,Centropolis Entertainment,5.6,2015
629,157336,Interstellar,24.949134,151980023.377,572690645.123,Mankind was born on Earth. It was never meant to die here.,saving the world|artificial intelligence|father-son relationship|single parent|nasa,Adventure,Paramount Pictures,8.0,2014
630,118340,Guardians of the Galaxy,14.311205,156585478.631,712291130.17,All heroes start somewhere.,marvel comic|spaceship|space|scene during end credits|outer space,Action,Marvel Studios,7.9,2014
631,100402,Captain America: The Winter Soldier,12.971027,156585478.631,658365092.86,In heroes we trust.,washington d.c.|future|shield|marvel comic|comic,Action,Marvel Studios,7.6,2014
632,245891,John Wick,11.422751,18421821.0154,72526614.4654,Don't set him off.,hitman|revenge|murder|gangster|dog,Action,Thunder Road Pictures,7.0,2014
633,131631,The Hunger Games: Mockingjay - Part 1,10.739009,115136381.346,692752790.215,Fire burns brighter in the darkness,resistance|post-apocalyptic|dystopia|war|sequel,Science Fiction,Lionsgate,6.6,2014
634,122917,The Hobbit: The Battle of the Five Armies,10.174599,230272762.693,879752289.142,Witness the defining chapter of the Middle-Earth saga,corruption|elves|dwarves|orcs|middle-earth (tolkien),Adventure,WingNut Films,7.1,2014
635,177572,Big Hero 6,8.691294,151980023.377,600648487.707,From the creators of Wreck-it Ralph and Frozen,brother brother relationship|hero|talent|revenge|best friend,Adventure,Walt Disney Pictures,7.8,2014
636,205596,The Imitation Game,8.110711,12895274.7108,215126072.495,The true enigma was the man who cracked the code.,gay|england|world war ii|mathematician|biography,History,Black Bear Pictures,8.0,2014
637,198663,The Maze Runner,7.137273,31317095.7262,320834306.773,Run - Remember - Survive,based on novel|maze|post-apocalyptic|dystopia|escape,Action,Ingenious Media,7.0,2014
638,194662,Birdman,6.907148,16579638.9139,95070499.3879,or (The Unexpected Virtue of Ignorance),times square|superhero|long take|new york city|play,Drama,Worldview Entertainment,7.3,2014
639,210577,Gone Girl,6.438727,56186554.0971,340186892.137,You don't know what you've got 'til it's...,falsely accused person|based on novel|marriage crisis|disappearance|cheating husband,Mystery,Twentieth Century Fox Film Corporation,7.9,2014
640,228150,Fury,6.415818,62634191.4525,195103577.61,War never ends quietly.,world war ii|nazis|war|nazi germany|panzer,War,Columbia Pictures,7.4,2014
641,181533,Night at the Museum: Secret of the Tomb,6.286692,116978563.448,321851579.072,One Final Night to Save the Day.,night watchman|museum|natural history|history|smithsonian,Adventure,Twentieth Century Fox Film Corporation,6.1,2014
642,157350,Divergent,6.14502,78292739.3156,265963102.014,What makes you different makes you dangerous.,based on novel|dystopia|youth|dystopic future|caste system,Action,Summit Entertainment,6.9,2014
643,127585,X-Men: Days of Future Past,6.052479,230272762.693,687133923.876,"To save the future, they must alter the past",1970s|mutant|time travel|marvel comic|based on comic book,Action,Twentieth Century Fox Film Corporation,7.6,2014
644,240832,Lucy,5.947136,36843642.0309,426796807.314,The average person uses 10% of their brain capacity. Imagine what she could do with 100%.,artificial intelligence|intelligence|drug mule|futuristic|drug,Action,Universal Pictures,6.3,2014
645,98566,Teenage Mutant Ninja Turtles,5.787396,115136381.346,439544649.428,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,martial arts|terrorist|subway|hero|mutation,Science Fiction,Paramount Pictures,5.8,2014
646,225886,Sex Tape,5.701683,36843642.0309,116121496.515,A movie about a movie they don't want you to see.,marriage|internet|relationship|family|sex tape,Comedy,Escape Artists,5.3,2014
647,242582,Nightcrawler,5.522641,7829273.93156,35643660.2685,The city shines brightest at night,journalism|underground|tv station|sociopath|home invasion,Crime,Bold Films,7.6,2014
648,91314,Transformers: Age of Extinction,4.983782,193429120.662,226127852.964,This is not war. It's extinction.,sequel|alien|transformers|giant robot|robot,Science Fiction,Paramount Pictures,5.9,2014
